memo-nms2-b001 Surface Coverage Data
Date/Time, MeMo Surface Coverage (%)
2018-10-23 15:33:13 ,0
2018-10-23 15:51:05 ,0
2018-10-23 18:35:16 ,0
2018-10-23 18:50:16 ,0
2018-10-23 19:20:15 ,0.01
2018-10-23 20:10:00 ,0
2018-10-23 20:40:00 ,0
2018-10-23 20:55:00 ,0.01
2018-10-23 21:10:00 ,0
2018-10-23 21:25:01 ,0.01
2018-10-23 21:40:00 ,0
2018-10-23 21:55:00 ,0.01
2018-10-23 22:10:00 ,0.01
2018-10-23 22:40:00 ,0
2018-10-23 22:55:01 ,0.01
2018-10-23 23:10:01 ,0.02
2018-10-23 23:25:01 ,0.01
2018-10-23 23:40:00 ,0.02
2018-10-23 23:55:00 ,0
2018-10-24 00:10:00 ,0
2018-10-24 00:25:00 ,0
2018-10-24 00:55:00 ,0
2018-10-24 01:10:00 ,0
2018-10-24 01:25:01 ,0
2018-10-24 01:40:00 ,0
2018-10-24 02:10:00 ,0
2018-10-24 02:25:00 ,0
2018-10-24 02:40:01 ,0
2018-10-24 02:55:01 ,0
2018-10-24 03:10:00 ,0
2018-10-24 03:25:00 ,0
2018-10-24 03:40:01 ,0
2018-10-24 03:55:00 ,0
2018-10-24 04:10:00 ,0
2018-10-24 04:40:00 ,0
2018-10-24 04:55:01 ,0
2018-10-24 05:25:00 ,0
2018-10-24 05:40:00 ,0.01
2018-10-24 05:55:00 ,0
2018-10-24 06:10:00 ,0
2018-10-24 06:25:00 ,0
2018-10-24 06:40:00 ,0
2018-10-24 06:54:59 ,0.01
2018-10-24 07:25:00 ,0.01
2018-10-24 07:40:00 ,0.01
2018-10-24 07:55:00 ,0.01
2018-10-24 08:10:00 ,0
2018-10-24 08:25:00 ,0.05
2018-10-24 08:40:04 ,0.07
2018-10-24 08:55:00 ,0.07
2018-10-24 09:25:00 ,0.07
2018-10-24 09:40:00 ,0.03
2018-10-24 09:55:00 ,0.05
2018-10-24 10:25:00 ,0.06
2018-10-24 10:40:01 ,0.06
2018-10-24 10:55:00 ,0.08
2018-10-24 11:10:00 ,0.1
2018-10-24 11:40:00 ,0.05
2018-10-24 11:55:00 ,0.06
2018-10-24 12:25:00 ,0.09
2018-10-24 12:40:00 ,0.08
2018-10-24 12:55:00 ,0.06
2018-10-24 13:10:00 ,0.08
2018-10-24 13:25:00 ,0.03
2018-10-24 13:40:00 ,0.09
2018-10-24 13:55:00 ,0.08
2018-10-24 14:10:01 ,0.06
2018-10-24 14:25:00 ,0.05
2018-10-24 14:40:00 ,0.09
2018-10-24 14:55:00 ,0.04
2018-10-24 15:25:00 ,0.08
2018-10-24 15:40:00 ,0.08
2018-10-24 15:55:00 ,0.06
2018-10-24 16:10:00 ,0.08
2018-10-24 16:25:00 ,0.09
2018-10-24 16:40:00 ,0.07
2018-10-24 16:55:00 ,0.07
2018-10-24 17:10:01 ,0.06
2018-10-24 17:40:01 ,0.06
2018-10-24 17:55:00 ,0.05
2018-10-24 18:31:31 ,0.05
2018-10-24 18:46:31 ,0.03
2018-10-24 19:16:31 ,0.04
2018-10-24 19:31:31 ,0.03
2018-10-24 19:46:31 ,0.03
2018-10-24 20:01:31 ,0.03
2018-10-24 20:16:31 ,0.04
2018-10-24 20:31:31 ,0.03
2018-10-24 20:46:31 ,0.06
2018-10-24 21:16:31 ,0.08
2018-10-24 21:31:31 ,0.03
2018-10-24 21:46:31 ,0.13
2018-10-24 22:16:31 ,0.16
2018-10-24 22:31:31 ,0.15
2018-10-24 22:46:31 ,0.13
2018-10-24 23:01:31 ,0.18
2018-10-24 23:16:31 ,0.22
2018-10-24 23:46:31 ,0.17
2018-10-25 00:01:32 ,0.07
2018-10-25 00:16:31 ,0.05
2018-10-25 00:31:31 ,0.16
2018-10-25 00:46:31 ,0.22
2018-10-25 01:01:32 ,0.15
2018-10-25 01:31:31 ,0.1
2018-10-25 01:46:31 ,0.12
2018-10-25 02:01:31 ,0.11
2018-10-25 02:16:31 ,0.12
2018-10-25 02:31:31 ,0.03
2018-10-25 02:46:31 ,0.05
2018-10-25 03:01:31 ,0.04
2018-10-25 03:16:31 ,0.04
2018-10-25 03:46:31 ,0.05
2018-10-25 04:01:31 ,0.01
2018-10-25 04:16:31 ,0.04
2018-10-25 04:46:31 ,0.12
2018-10-25 05:01:31 ,0.12
2018-10-25 05:16:31 ,0.07
2018-10-25 05:31:31 ,0.07
2018-10-25 05:46:31 ,0.05
2018-10-25 06:16:31 ,0.07
2018-10-25 06:31:31 ,0.01
2018-10-25 06:46:31 ,0.1
2018-10-25 07:16:31 ,0.1
2018-10-25 07:31:31 ,0.04
2018-10-25 07:46:31 ,0.12
2018-10-25 08:16:31 ,0.11
2018-10-25 08:31:31 ,0.04
2018-10-25 08:46:31 ,0.05
2018-10-25 09:01:31 ,0.07
2018-10-25 09:16:31 ,0.04
2018-10-25 09:31:31 ,0.05
2018-10-25 09:46:31 ,0.08
2018-10-25 10:01:31 ,0.03
2018-10-25 10:16:31 ,0.1
2018-10-25 10:31:30 ,0.1
2018-10-25 11:04:28 ,0
2018-10-25 11:19:28 ,0
2018-10-25 11:50:19 ,0
2018-10-25 12:05:19 ,0
2018-10-25 12:35:19 ,0
2018-10-25 12:50:19 ,0
2018-10-25 13:05:19 ,0
2018-10-25 13:20:19 ,0
2018-10-25 13:35:19 ,0
2018-10-25 14:05:20 ,0
2018-10-25 14:20:19 ,0
2018-10-25 14:35:19 ,0
2018-10-25 14:50:19 ,0
2018-10-25 15:05:19 ,0
2018-10-25 15:35:19 ,0
2018-10-25 15:50:20 ,0
2018-10-25 16:05:19 ,0
2018-10-25 16:20:19 ,0
2018-10-25 16:50:19 ,0
2018-10-25 17:05:19 ,0
2018-10-25 17:20:19 ,0
2018-10-25 17:35:18 ,0
2018-10-25 17:50:19 ,0
2018-10-25 18:05:19 ,0
2018-10-25 18:20:19 ,0
2018-10-25 18:35:19 ,0
2018-10-25 19:05:19 ,0
2018-10-25 19:35:19 ,0
2018-10-25 19:50:19 ,0
2018-10-25 20:05:19 ,0
2018-10-25 20:20:19 ,0
2018-10-25 20:35:19 ,0
2018-10-25 20:50:19 ,0
